                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1367,                  3.443,                 4.1779,                0.00333,                0.77143,                0.14034,                0.03851,                 2.6209,                 3.8057,                 4.1242,                0.00056,                0.00056,                0.00056
                      2,                 3.0607,                  3.368,                 4.0223,                0.00346,                    0.8,                0.06502,                0.02053,                 2.6162,                 3.7961,                 3.9658,              0.0011212,              0.0011212,              0.0011212
                      3,                 2.9702,                 3.2882,                 3.7178,                0.03628,                    0.6,                0.03451,                0.00743,                 2.9538,                 18.858,                 5.4965,              0.0016632,              0.0016632,              0.0016632
                      4,                  2.872,                 3.1691,                 3.4425,                0.06501,                0.28571,                0.05477,                0.02079,                 2.8877,                 11.188,                 4.2237,               0.001901,               0.001901,               0.001901
                      5,                 2.6936,                  3.089,                 3.2783,                0.14313,                    0.2,                0.10722,                0.03865,                 2.6715,                 7.6716,                 3.6206,               0.001868,               0.001868,               0.001868
                      6,                 2.5992,                 3.0182,                 3.1528,                0.21228,                0.22857,                0.13493,                0.04511,                 2.4848,                  8.547,                 3.3362,               0.001835,               0.001835,               0.001835
                      7,                 2.5405,                 2.9747,                 3.0726,                0.14031,                0.37143,                0.10826,                 0.0325,                 2.3325,                 3.9052,                 3.1122,               0.001802,               0.001802,               0.001802
                      8,                 2.4898,                 2.9443,                 2.9935,                0.12339,                0.05714,                0.03538,                0.01453,                  2.868,                 4.9527,                   3.62,               0.001769,               0.001769,               0.001769
                      9,                  2.385,                 2.8256,                  2.937,                0.19541,                0.28571,                0.16668,                0.04935,                 2.3275,                 2.8445,                 3.0898,               0.001736,               0.001736,               0.001736
                     10,                 2.3579,                 2.7045,                 2.8706,                0.18587,                    0.2,                0.14047,                 0.0436,                 2.4966,                 3.0474,                 3.3761,               0.001703,               0.001703,               0.001703
                     11,                 2.2946,                 2.6671,                 2.7795,                0.14653,                0.34286,                0.12548,                0.04584,                 2.5933,                 3.4017,                 3.6567,                0.00167,                0.00167,                0.00167
                     12,                  2.281,                 2.6079,                 2.7464,                0.19615,                0.37143,                0.18544,                0.05915,                 2.4918,                 3.0786,                 3.1347,               0.001637,               0.001637,               0.001637
                     13,                 2.1856,                 2.5377,                 2.6924,                0.07617,                0.37143,                0.07106,                0.02566,                  2.296,                 5.5671,                   2.95,               0.001604,               0.001604,               0.001604
                     14,                 2.1349,                 2.4481,                 2.6235,                0.13615,                0.28571,                0.10509,                0.04229,                 2.0719,                 2.9352,                 2.8067,               0.001571,               0.001571,               0.001571
